,title,genre,gross,tickets_sold,budget,url,rating,agerating,releaseyear
168,Freaky,Horror,"$8,702,060 ","948,970",6000000,https://www.imdb.com/title/tt10919380/?ref_=adv_li_tt,6.3,R,2020
170,The Hunt,Thriller/Suspense,"$5,812,500 ","633,860",18200000,https://www.imdb.com/title/tt8244784/?ref_=adv_li_tt,6.5,R,2020
171,The Rhythm Section,Thriller/Suspense,"$5,437,971 ","593,017",50000000,https://www.imdb.com/title/tt7134096/?ref_=adv_li_tt,5.4,R,2020
172,Monster Hunter,Action,"$5,018,403 ","547,263",60000000,https://www.imdb.com/title/tt6475714/?ref_=adv_li_tt,5.2,PG-13,2020
174,News of the World,Western,"$3,717,170 ","405,362",38000000,https://www.imdb.com/title/tt6878306/?ref_=adv_li_tt,6.8,PG-13,2020
176,Bill & Ted Face the Music,Comedy,"$3,439,660 ","375,099",25000000,https://www.imdb.com/title/tt1086064/?ref_=adv_li_tt,5.9,PG-13,2020
177,The Last Full Measure,Drama,"$2,949,212 ","321,615",20000000,https://www.imdb.com/title/tt0783640/?ref_=adv_li_tt,6.8,R,2019
178,Words on Bathroom Walls,Drama,"$2,542,518 ","277,264",9300000,https://www.imdb.com/title/tt8045906/?ref_=adv_li_tt,7.1,PG-13,2020
179,The Assistant,Drama,"$1,100,310 ","119,990",1780000,https://www.imdb.com/title/tt9000224/?ref_=adv_li_tt,6.4,R,2019
180,Love and Monsters,Adventure,"$1,070,714 ","116,762",30000000,https://www.imdb.com/title/tt2222042/?ref_=adv_li_tt,6.9,PG-13,2020
181,All My Life,Drama,"$899,585 ","98,100",25000000,https://www.imdb.com/title/tt8305852/?ref_=adv_li_tt,6.3,PG-13,2020
183,Cut Throat City,Drama,"$855,894 ","93,336",8000000,https://www.imdb.com/title/tt3547306/?ref_=adv_li_tt,4.9,R,2020
184,Pinocchio,Adventure,"$782,555 ","85,338",13200000,https://www.imdb.com/title/tt4593060/?ref_=adv_li_tt,5.1,PG,2022
188,Seberg,Thriller/Suspense,"$448,009 ","48,855",8000000,https://www.imdb.com/title/tt1780967/?ref_=adv_li_tt,5.9,R,2019
189,The Informer,Thriller/Suspense,"$300,460 ","32,765",60000000,https://www.imdb.com/title/tt1833116/?ref_=adv_li_tt,6.6,R,2019
190,The Climb,Drama,"$234,429 ","25,564",3000000,https://www.imdb.com/title/tt8637440/?ref_=adv_li_tt,6.7,R,2019
191,Summerland,Drama,"$58,434 ","6,372",1100000,https://www.imdb.com/title/tt6841122/?ref_=adv_li_tt,7.0,PG,2020
192,Spider-Man: No Way Home,Action,"$572,984,769 ","62,484,708",200000000,https://www.imdb.com/title/tt10872600/?ref_=adv_li_tt,8.3,PG-13,2021
194,Black Widow,Action,"$183,651,655 ","20,027,443",200000000,https://www.imdb.com/title/tt3480822/?ref_=adv_li_tt,6.7,PG-13,2021
195,F9: The Fast Saga,Action,"$173,005,945 ","18,866,515",200000000,https://www.imdb.com/title/tt5433138/?ref_=adv_li_tt,5.2,PG-13,2021
196,Eternals,Action,"$164,694,432 ","17,960,134",200000000,https://www.imdb.com/title/tt9032400/?ref_=adv_li_tt,6.3,PG-13,2021
198,No Time to Die,Action,"$160,772,007 ","17,532,388",250000000,https://www.imdb.com/title/tt2382320/?ref_=adv_li_tt,7.3,PG-13,2021
200,Ghostbusters: Afterlife,Comedy,"$122,378,960 ","13,345,579",75000000,https://www.imdb.com/title/tt4513678/?ref_=adv_li_tt,7.1,PG-13,2021
202,Jungle Cruise,Adventure,"$116,987,516 ","12,757,635",200000000,https://www.imdb.com/title/tt0870154/?ref_=adv_li_tt,6.6,PG-13,2021
203,Dune,Action,"$107,176,143 ","11,687,693",165000000,https://www.imdb.com/title/tt1160419/?ref_=adv_li_tt,8.0,PG-13,2021
205,Godzilla vs. Kong,Action,"$100,916,094 ","11,005,027",155000000,https://www.imdb.com/title/tt5034838/?ref_=adv_li_tt,6.3,PG-13,2021
206,Halloween Kills,Horror,"$92,002,155 ","10,032,950",20000000,https://www.imdb.com/title/tt10665338/?ref_=adv_li_tt,5.5,R,2021
207,Encanto,Adventure,"$90,628,329 ","9,883,133",150000000,https://www.imdb.com/title/tt2953050/?ref_=adv_li_tt,7.2,PG,2021
209,Sing 2,Adventure,"$76,483,155 ","8,340,584",85000000,https://www.imdb.com/title/tt6467266/?ref_=adv_li_tt,7.4,PG,2021
211,Space Jam: A New Legacy,Comedy,"$70,592,228 ","7,698,171",150000000,https://www.imdb.com/title/tt3554046/?ref_=adv_li_tt,4.5,PG,2021
212,The Boss Baby: Family Business,Adventure,"$57,300,280 ","6,248,667",82000000,https://www.imdb.com/title/tt6932874/?ref_=adv_li_tt,5.9,PG,2021
213,The Suicide Squad,Action,"$55,817,425 ","6,086,960",185000000,https://www.imdb.com/title/tt6334354/?ref_=adv_li_tt,7.2,R,2021
214,House of Gucci,Drama,"$49,023,527 ","5,346,077",75000000,https://www.imdb.com/title/tt11214590/?ref_=adv_li_tt,6.6,R,2021
216,Clifford the Big Red Dog,Adventure,"$48,947,356 ","5,337,771",64000000,https://www.imdb.com/title/tt2397461/?ref_=adv_li_tt,5.9,PG,2021
217,Old,Thriller/Suspense,"$48,276,510 ","5,264,614",18000000,https://www.imdb.com/title/tt10954652/?ref_=adv_li_tt,5.8,PG-13,2021
218,Tom and Jerry,Adventure,"$46,536,687 ","5,074,884",50000000,https://www.imdb.com/title/tt1361336/?ref_=adv_li_tt,5.2,PG,2021
219,The Forever Purge,Horror,"$44,539,245 ","4,857,061",18000000,https://www.imdb.com/title/tt10327252/?ref_=adv_li_tt,5.4,R,2021
220,Mortal Kombat,Action,"$42,326,031 ","4,615,707",55000000,https://www.imdb.com/title/tt0293429/?ref_=adv_li_tt,6.1,R,2021
221,Peter Rabbit 2: The Runaway,Adventure,"$40,501,717 ","4,416,763",45000000,https://www.imdb.com/title/tt8376234/?ref_=adv_li_tt,6.2,PG,2021
222,Don't Breathe 2,Horror,"$32,638,038 ","3,559,219",15000000,https://www.imdb.com/title/tt6246322/?ref_=adv_li_tt,6.0,R,2021
223,In the Heights,Musical,"$29,975,167 ","3,268,830",55000000,https://www.imdb.com/title/tt1321510/?ref_=adv_li_tt,7.3,PG-13,2021
224,West Side Story,Musical,"$28,169,248 ","3,071,892",100000000,https://www.imdb.com/title/tt3581652/?ref_=adv_li_tt,7.2,PG-13,2021
226,The Matrix Resurrections,Action,"$28,134,634 ","3,068,117",190000000,https://www.imdb.com/title/tt10838180/?ref_=adv_li_tt,5.7,R,2021
228,Nobody,Thriller/Suspense,"$27,568,035 ","3,006,329",16000000,https://www.imdb.com/title/tt7888964/?ref_=adv_li_tt,7.4,R,2021
229,Wrath of Man,Action,"$27,466,489 ","2,995,255",40000000,https://www.imdb.com/title/tt11083552/?ref_=adv_li_tt,7.1,R,2021
230,Spiral,Horror,"$23,216,862 ","2,531,828",20000000,https://www.imdb.com/title/tt10342730/?ref_=adv_li_tt,5.2,R,2021
232,Spirit Untamed,Adventure,"$17,716,215 ","1,931,975",30000000,https://www.imdb.com/title/tt11084896/?ref_=adv_li_tt,5.5,PG,2021
233,The Green Knight,Adventure,"$17,173,321 ","1,872,772",15000000,https://www.imdb.com/title/tt9243804/?ref_=adv_li_tt,6.6,R,2021
234,The King's Man,Action,"$16,258,724 ","1,773,034",100000000,https://www.imdb.com/title/tt6856242/?ref_=adv_li_tt,6.3,R,2021
236,The Marksman,Action,"$15,566,093 ","1,697,501",23000000,https://www.imdb.com/title/tt6902332/?ref_=adv_li_tt,5.6,PG-13,2021
237,The Unholy,Horror,"$15,532,137 ","1,693,799",10000000,https://www.imdb.com/title/tt9419056/?ref_=adv_li_tt,5.1,PG-13,2021
