movie,genre,gross,tickets_sold
Shaft,Comedy,"$21,360,215 ","2,331,901"
The Peanut Butter Falcon,Adventure,"$20,457,158 ","2,233,314"
UglyDolls,Adventure,"$20,150,241 ","2,199,807"
Cats,Musical,"$19,970,095 ","2,180,141"
Unplanned,Drama,"$19,005,109 ","2,074,793"
The Favourite,Black Comedy,"$18,478,318 ","2,017,283"
Vice,Black Comedy,"$18,108,785 ","1,976,941"
Richard Jewell,Drama,"$17,822,217 ","1,945,657"
Charlie's Angels,Action,"$17,790,181 ","1,942,159"
The Farewell,Drama,"$17,700,478 ","1,932,366"
BrightBurn,Horror,"$17,259,427 ","1,884,216"
The Good Liar,Thriller/Suspense,"$16,973,279 ","1,852,978"
The Kid Who Would Be King,Adventure,"$16,790,790 ","1,833,055"
Missing Link,Adventure,"$16,649,539 ","1,817,635"
Late Night,Comedy,"$15,500,045 ","1,692,144"
Miss Bala,Action,"$14,998,027 ","1,637,339"
The Prodigy,Horror,"$14,856,291 ","1,621,865"
A Star is Born,Drama,"$14,130,981 ","1,542,684"
Ralph Breaks The Internet,Adventure,"$13,939,018 ","1,521,726"
Poms,Comedy,"$13,631,124 ","1,488,113"
They Shall Not Grow Old,Documentary,"$12,253,074 ","1,337,672"
The Kitchen,Drama,"$12,180,032 ","1,329,698"
After,Drama,"$12,138,565 ","1,325,170"
Blinded by the Light,Drama,"$11,901,145 ","1,299,252"
The Grudge,Horror,"$11,404,113 ","1,244,990"
The Lighthouse,Horror,"$10,809,320 ","1,180,056"
Dark Waters,Drama,"$10,633,879 ","1,160,904"
Greta,Thriller/Suspense,"$10,544,310 ","1,151,126"
If Beale Street Could Talk,Drama,"$10,506,525 ","1,147,000"
The Best of Enemies,Drama,"$10,205,616 ","1,114,150"
Black Christmas,Horror,"$9,867,670 ","1,077,257"
Hotel Mumbai,Thriller/Suspense,"$9,619,500 ","1,050,163"
Motherless Brooklyn,Drama,"$9,277,736 ","1,012,853"
No Manches Frida 2,Comedy,"$9,270,920 ","1,012,109"
Where'd You Go Bernadette,Comedy,"$9,198,356 ","1,004,187"
Apollo 11,Documentary,"$9,040,224 ","986,924"
Serenity,Thriller/Suspense,"$8,547,045 ","933,083"
Anna,Action,"$7,743,794 ","845,392"
Penguins,Documentary,"$7,699,452 ","840,552"
Brittany Runs a Marathon,Drama,"$7,136,342 ","779,076"
The Dead Don't Die,Horror,"$6,782,066 ","740,400"
Mary Queen of Scots,Drama,"$6,742,269 ","736,056"
Jexi,Comedy,"$6,546,159 ","714,646"
Second Act,Comedy,"$6,489,861 ","708,500"
Run the Race,Drama,"$6,424,420 ","701,355"
Free Solo,Documentary,"$6,093,902 ","665,273"
The Current War: Director's...,Drama,"$5,978,673 ","652,693"
Captive State,Thriller/Suspense,"$5,958,315 ","650,471"
The Wandering Earth,Action,"$5,875,487 ","641,428"
Arctic Dogs,Adventure,"$5,801,249 ","633,324"
Gloria Bell,Drama,"$5,611,123 ","612,568"
The Mustang,Drama,"$5,336,840 ","582,624"
The Goldfinch,Drama,"$5,332,621 ","582,164"
Stan & Ollie,Drama,"$5,235,893 ","571,604"
Don't Let Go,Thriller/Suspense,"$5,215,062 ","569,330"
The Sun is Also a Star,Drama,"$4,950,029 ","540,396"
Bring the Soul: The Movie,Documentary,"$4,809,800 ","525,087"
Pavarotti,Documentary,"$4,686,402 ","511,615"
Tolkien,Drama,"$4,535,154 ","495,104"
The Last Black Man in San F...,Drama,"$4,515,719 ","492,982"
Amazing Grace,Documentary,"$4,450,454 ","485,857"
Brian Banks,Drama,"$4,376,820 ","477,818"
The Biggest Little Farm,Documentary,"$4,367,816 ","476,835"
Dr. Seuss' The Grinch,Adventure,"$4,340,540 ","473,858"
Cold War,Drama,"$4,307,930 ","470,298"
Linda Ronstadt: The Sound o...,Documentary,"$4,244,894 ","463,416"
Gully Boy,Adventure,"$4,216,437 ","460,309"
Uri: The Surgical Strike,Action,"$4,185,663 ","456,950"
