title,url,rating,agerating,oldreleaseyear,releaseyear
Tenet,https://www.imdb.com/title/tt6723592/?ref_=adv_li_tt,7.3,PG-13,-2020,2020
The Invitation,https://www.imdb.com/title/tt12873562/?ref_=adv_li_tt,5.2,PG-13,2022,2022
Joker,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,8.4,R,2019,2019
Lou,https://www.imdb.com/title/tt5315210/?ref_=adv_li_tt,6.1,R,2022,2022
The Minute You Wake up Dead,https://www.imdb.com/title/tt11833408/?ref_=adv_li_tt,4.1,R,-2022,2022
Bardo: False Chronicle of a Handful of Truths,https://www.imdb.com/title/tt14176542/?ref_=adv_li_tt,7.5,R,-2022,2022
Parasite,https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt,8.5,R,-2019,2019
Ambulance,https://www.imdb.com/title/tt4998632/?ref_=adv_li_tt,6.1,R,-2022,2022
Three Thousand Years of Longing,https://www.imdb.com/title/tt9198364/?ref_=adv_li_tt,6.7,R,-2022,2022
Mr. Harrigan's Phone,https://www.imdb.com/title/tt12908110/?ref_=adv_li_tt,6,PG-13,-2022,2022
Last Night in Soho,https://www.imdb.com/title/tt9639470/?ref_=adv_li_tt,7.1,R,-2021,2021
1917,https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,8.2,R,-2019,2019
Emily the Criminal,https://www.imdb.com/title/tt15255876/?ref_=adv_li_tt,6.7,R,-2022,2022
Downton Abbey: A New Era,https://www.imdb.com/title/tt11703710/?ref_=adv_li_tt,7.4,PG,-2022,2022
Rosaline,https://www.imdb.com/title/tt1777606/?ref_=adv_li_tt,6.4,PG-13,-2022,2022
Pinocchio,https://www.imdb.com/title/tt4593060/?ref_=adv_li_tt,5.1,PG,2022,2022
After Ever Happy,https://www.imdb.com/title/tt13070038/?ref_=adv_li_tt,4.5,R,-2022,2022
The Greatest Beer Run Ever,https://www.imdb.com/title/tt10268488/?ref_=adv_li_tt,6.8,R,-2022,2022
Dear Zoe,https://www.imdb.com/title/tt1657865/?ref_=adv_li_tt,5.4,R,-2022,2022
Jeepers Creepers: Reborn,https://www.imdb.com/title/tt14121726/?ref_=adv_li_tt,2.5,R,-2022,2022
Slumberland,https://www.imdb.com/title/tt13320662/?ref_=adv_li_tt,6,PG,-2022,2022
Don't Look Up,https://www.imdb.com/title/tt11286314/?ref_=adv_li_tt,7.2,R,-2021,2021
Pleasure,https://www.imdb.com/title/tt8550054/?ref_=adv_li_tt,6.4,R,-2021,2021
Ghostbusters: Afterlife,https://www.imdb.com/title/tt4513678/?ref_=adv_li_tt,7.1,PG-13,-2021,2021
"Argentina, 1985",https://www.imdb.com/title/tt15301048/?ref_=adv_li_tt,7.8,R,-2022,2022
Zack Snyder's Justice League,https://www.imdb.com/title/tt12361974/?ref_=adv_li_tt,8,R,-2021,2021
John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/?ref_=adv_li_tt,7.4,R,-2019,2019
The King's Man,https://www.imdb.com/title/tt6856242/?ref_=adv_li_tt,6.3,R,-2021,2021
Soft & Quiet,https://www.imdb.com/title/tt14557188/?ref_=adv_li_tt,6,R,-2022,2022
Fantastic Beasts: The Secrets of Dumbledore,https://www.imdb.com/title/tt4123432/?ref_=adv_li_tt,6.2,PG-13,-2022,2022
Little Women,https://www.imdb.com/title/tt3281548/?ref_=adv_li_tt,7.8,PG,-2019,2019
Raymond & Ray,https://www.imdb.com/title/tt15334032/?ref_=adv_li_tt,6.2,R,-2022,2022
Encanto,https://www.imdb.com/title/tt2953050/?ref_=adv_li_tt,7.2,PG,-2021,2021
Free Guy,https://www.imdb.com/title/tt6264654/?ref_=adv_li_tt,7.1,PG-13,-2021,2021
Samaritan,https://www.imdb.com/title/tt5500218/?ref_=adv_li_tt,5.7,PG-13,-2022,2022
The Power of the Dog,https://www.imdb.com/title/tt10293406/?ref_=adv_li_tt,6.8,R,-2021,2021
The Suicide Squad,https://www.imdb.com/title/tt6334354/?ref_=adv_li_tt,7.2,R,-2021,2021
Men,https://www.imdb.com/title/tt13841850/?ref_=adv_li_tt,6.1,R,-2022,2022
Beast,https://www.imdb.com/title/tt13223398/?ref_=adv_li_tt,5.6,R,2022,2022
Lady Chatterley's Lover,https://www.imdb.com/title/tt14369780/?ref_=adv_li_tt,7,R,-2022,2022
The French Dispatch,https://www.imdb.com/title/tt8847712/?ref_=adv_li_tt,7.2,R,-2021,2021
Roald Dahl's Matilda the Musical,https://www.imdb.com/title/tt3447590/?ref_=adv_li_tt,5.9,PG,-2022,2022
Significant Other,https://www.imdb.com/title/tt15353964/?ref_=adv_li_tt,5.7,R,-2022,2022
Shazam!,https://www.imdb.com/title/tt0448115/?ref_=adv_li_tt,7,PG-13,-2019,2019
Memory,https://www.imdb.com/title/tt11827628/?ref_=adv_li_tt,5.7,R,-2022,2022
Moonfall,https://www.imdb.com/title/tt5834426/?ref_=adv_li_tt,5.1,PG-13,-2022,2022
"Good Luck to You, Leo Grande",https://www.imdb.com/title/tt13352968/?ref_=adv_li_tt,7.2,R,-2022,2022
House of Gucci,https://www.imdb.com/title/tt11214590/?ref_=adv_li_tt,6.6,R,-2021,2021
Nobody,https://www.imdb.com/title/tt7888964/?ref_=adv_li_tt,7.4,R,2021,2021
The Little Things,https://www.imdb.com/title/tt10016180/?ref_=adv_li_tt,6.3,R,-2021,2021
Old,https://www.imdb.com/title/tt10954652/?ref_=adv_li_tt,5.8,PG-13,-2021,2021
Vengeance,https://www.imdb.com/title/tt11976532/?ref_=adv_li_tt,6.8,R,2022,2022
After,https://www.imdb.com/title/tt4126476/?ref_=adv_li_tt,5.3,PG-13,2019,2019
Last Seen Alive,https://www.imdb.com/title/tt10242388/?ref_=adv_li_tt,5.6,R,-2022,2022
Minions: The Rise of Gru,https://www.imdb.com/title/tt5113044/?ref_=adv_li_tt,6.6,PG,-2022,2022
Day Shift,https://www.imdb.com/title/tt13314558/?ref_=adv_li_tt,6.1,R,-2022,2022
Doctor Sleep,https://www.imdb.com/title/tt5606664/?ref_=adv_li_tt,7.3,R,-2019,2019
The Outfit,https://www.imdb.com/title/tt14114802/?ref_=adv_li_tt,7.1,R,-2022,2022
Close,https://www.imdb.com/title/tt9660502/?ref_=adv_li_tt,7.9,PG-13,2022,2022
Nightmare Alley,https://www.imdb.com/title/tt7740496/?ref_=adv_li_tt,7,R,-2021,2021
Dog,https://www.imdb.com/title/tt11252248/?ref_=adv_li_tt,6.5,PG-13,2022,2022
Clerks III,https://www.imdb.com/title/tt11128440/?ref_=adv_li_tt,6.4,R,-2022,2022
CODA,https://www.imdb.com/title/tt10366460/?ref_=adv_li_tt,8,PG-13,-2021,2021
Blade of the 47 Ronin,https://www.imdb.com/title/tt12610794/?ref_=adv_li_tt,4.7,R,-2022,2022
The Matrix Resurrections,https://www.imdb.com/title/tt10838180/?ref_=adv_li_tt,5.7,R,-2021,2021
Sonic the Hedgehog 2,https://www.imdb.com/title/tt12412888/?ref_=adv_li_tt,6.5,PG,-2022,2022
Lamborghini: The Man Behind the Legend,https://www.imdb.com/title/tt5533370/?ref_=adv_li_tt,5.5,R,-2022,2022
Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=adv_li_tt,8.1,PG-13,-2019,2019
Thirteen Lives,https://www.imdb.com/title/tt12262116/?ref_=adv_li_tt,7.8,PG-13,-2022,2022
The Munsters,https://www.imdb.com/title/tt14813212/?ref_=adv_li_tt,4.5,PG,-2022,2022
Spiderhead,https://www.imdb.com/title/tt9783600/?ref_=adv_li_tt,5.4,R,-2022,2022
Father Stu,https://www.imdb.com/title/tt14439896/?ref_=adv_li_tt,6.5,R,-2022,2022
Orphan: First Kill,https://www.imdb.com/title/tt11851548/?ref_=adv_li_tt,5.9,R,-2022,2022
Greenland,https://www.imdb.com/title/tt7737786/?ref_=adv_li_tt,6.4,PG-13,-2020,2020
Call Jane,https://www.imdb.com/title/tt7461272/?ref_=adv_li_tt,6.1,R,-2022,2022
Aqua Teen Forever: Plantasm,https://www.imdb.com/title/tt14636190/?ref_=adv_li_tt,6.4,R,-2022,2022
Wrath of Man,https://www.imdb.com/title/tt11083552/?ref_=adv_li_tt,7.1,R,-2021,2021
The Worst Person in the World,https://www.imdb.com/title/tt10370710/?ref_=adv_li_tt,7.8,R,-2021,2021
Black Widow,https://www.imdb.com/title/tt3480822/?ref_=adv_li_tt,6.7,PG-13,-2021,2021
Paradise City,https://www.imdb.com/title/tt14656632/?ref_=adv_li_tt,3.6,R,-2022,2022
The Lighthouse,https://www.imdb.com/title/tt7984734/?ref_=adv_li_tt,7.4,R,2019,2019
Godzilla vs. Kong,https://www.imdb.com/title/tt5034838/?ref_=adv_li_tt,6.3,PG-13,-2021,2021
It Chapter Two,https://www.imdb.com/title/tt7349950/?ref_=adv_li_tt,6.5,R,-2019,2019
Women Talking,https://www.imdb.com/title/tt13669038/?ref_=adv_li_tt,7.7,PG-13,-2022,2022
Me Time,https://www.imdb.com/title/tt14309446/?ref_=adv_li_tt,5.1,R,-2022,2022
The Voyeurs,https://www.imdb.com/title/tt11235772/?ref_=adv_li_tt,6,R,-2021,2021
Us,https://www.imdb.com/title/tt6857112/?ref_=adv_li_tt,6.8,R,2019,2019
The Adam Project,https://www.imdb.com/title/tt2463208/?ref_=adv_li_tt,6.7,PG-13,-2022,2022
Lightyear,https://www.imdb.com/title/tt10298810/?ref_=adv_li_tt,6,PG,-2022,2022
Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=adv_li_tt,7.9,PG-13,-2019,2019
Fresh,https://www.imdb.com/title/tt13403046/?ref_=adv_li_tt,6.7,R,-2022,2022
Deep Water,https://www.imdb.com/title/tt2180339/?ref_=adv_li_tt,5.4,R,2022,2022
Hustle,https://www.imdb.com/title/tt8009428/?ref_=adv_li_tt,7.3,R,-2022,2022
The Last Duel,https://www.imdb.com/title/tt4244994/?ref_=adv_li_tt,7.4,R,-2021,2021
Belfast,https://www.imdb.com/title/tt12789558/?ref_=adv_li_tt,7.3,PG-13,-2021,2021
The Independent,https://www.imdb.com/title/tt3416670/?ref_=adv_li_tt,5.4,R,-2022,2022
Shang-Chi and the Legend of the Ten Rings,https://www.imdb.com/title/tt9376612/?ref_=adv_li_tt,7.4,PG-13,-2021,2021
Promising Young Woman,https://www.imdb.com/title/tt9620292/?ref_=adv_li_tt,7.5,R,-2020,2020
Star Wars: The Rise Of Skywalker,https://www.imdb.com/title/tt2527338/?ref_=adv_li_tt,6.5,PG-13,-2019,2019
The Son,https://www.imdb.com/title/tt14458442/?ref_=adv_li_tt,6.3,PG-13,2022,2022
Catherine Called Birdy,https://www.imdb.com/title/tt11727866/?ref_=adv_li_tt,6.5,PG-13,-2022,2022
My Father's Dragon,https://www.imdb.com/title/tt9288748/?ref_=adv_li_tt,6.7,PG,-2022,2022
Jungleland,https://www.imdb.com/title/tt8710596/?ref_=adv_li_tt,6.2,R,-2019,2019
Hamilton,https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt,8.4,PG-13,-2020,2020
Run,https://www.imdb.com/title/tt8633478/?ref_=adv_li_tt,6.7,PG-13,2020,2020
Luck,https://www.imdb.com/title/tt7214954/?ref_=adv_li_tt,6.4,G,2022,2022
The Good Neighbor,https://www.imdb.com/title/tt14349032/?ref_=adv_li_tt,6.3,R,2022,2022
Empire of Light,https://www.imdb.com/title/tt14402146/?ref_=adv_li_tt,6.5,R,-2022,2022
Stars at Noon,https://www.imdb.com/title/tt10354106/?ref_=adv_li_tt,5.4,R,-2022,2022
F9: The Fast Saga,https://www.imdb.com/title/tt5433138/?ref_=adv_li_tt,5.2,PG-13,-2021,2021
Red Notice,https://www.imdb.com/title/tt7991608/?ref_=adv_li_tt,6.3,PG-13,-2021,2021
Operation Mincemeat,https://www.imdb.com/title/tt1879016/?ref_=adv_li_tt,6.6,PG-13,-2021,2021
The Father,https://www.imdb.com/title/tt10272386/?ref_=adv_li_tt,8.2,PG-13,2020,2020
Uncut Gems,https://www.imdb.com/title/tt5727208/?ref_=adv_li_tt,7.4,R,-2019,2019
The Irishman,https://www.imdb.com/title/tt1302006/?ref_=adv_li_tt,7.8,R,-2019,2019
Halloween Kills,https://www.imdb.com/title/tt10665338/?ref_=adv_li_tt,5.5,R,-2021,2021
The Estate,https://www.imdb.com/title/tt16302202/?ref_=adv_li_tt,5.7,R,2022,2022
Athena,https://www.imdb.com/title/tt15445056/?ref_=adv_li_tt,6.8,R,-2022,2022
The King,https://www.imdb.com/title/tt7984766/?ref_=adv_li_tt,7.3,R,2019,2019
Captain Marvel,https://www.imdb.com/title/tt4154664/?ref_=adv_li_tt,6.8,PG-13,-2019,2019
Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/?ref_=adv_li_tt,6.7,PG-13,-2019,2019
Persuasion,https://www.imdb.com/title/tt13456318/?ref_=adv_li_tt,5.8,PG,2022,2022
Bandit,https://www.imdb.com/title/tt9853500/?ref_=adv_li_tt,6.3,R,-2022,2022
Cruella,https://www.imdb.com/title/tt3228774/?ref_=adv_li_tt,7.3,PG-13,-2021,2021
Booksmart,https://www.imdb.com/title/tt1489887/?ref_=adv_li_tt,7.1,R,-2019,2019
Shadow Master,https://www.imdb.com/title/tt19879786/?ref_=adv_li_tt,4.1,R,-2022,2022
The Unforgivable,https://www.imdb.com/title/tt11233960/?ref_=adv_li_tt,7.1,R,-2021,2021
Accident Man: Hitman's Holiday,https://www.imdb.com/title/tt9669176/?ref_=adv_li_tt,5.8,R,-2022,2022
The Devil All the Time,https://www.imdb.com/title/tt7395114/?ref_=adv_li_tt,7.1,R,-2020,2020
The Bubble,https://www.imdb.com/title/tt13610562/?ref_=adv_li_tt,4.7,R,-2022,2022
Alita: Battle Angel,https://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,7.3,PG-13,-2019,2019
The Tomorrow War,https://www.imdb.com/title/tt9777666/?ref_=adv_li_tt,6.5,PG-13,-2021,2021
West Side Story,https://www.imdb.com/title/tt3581652/?ref_=adv_li_tt,7.2,PG-13,-2021,2021
Ready or Not,https://www.imdb.com/title/tt7798634/?ref_=adv_li_tt,6.8,R,2019,2019
The Contractor,https://www.imdb.com/title/tt10323676/?ref_=adv_li_tt,5.8,R,-2022,2022
A Quiet Place Part II,https://www.imdb.com/title/tt8332922/?ref_=adv_li_tt,7.2,PG-13,-2020,2020
White Noise,https://www.imdb.com/title/tt6160448/?ref_=adv_li_tt,6.6,R,2022,2022
Downton Abbey,https://www.imdb.com/title/tt6398184/?ref_=adv_li_tt,7.4,PG,-2019,2019
After We Collided,https://www.imdb.com/title/tt10362466/?ref_=adv_li_tt,5,R,-2020,2020
Fisherman's Friends: One and All,https://www.imdb.com/title/tt10373344/?ref_=adv_li_tt,6.3,PG-13,-2022,2022
Texas Chainsaw Massacre,https://www.imdb.com/title/tt11755740/?ref_=adv_li_tt,4.7,R,-2022,2022
Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/?ref_=adv_li_tt,5.9,PG-13,-2021,2021
Hustlers,https://www.imdb.com/title/tt5503686/?ref_=adv_li_tt,6.3,R,-2019,2019
Malignant,https://www.imdb.com/title/tt3811906/?ref_=adv_li_tt,6.2,R,2021,2021
King Richard,https://www.imdb.com/title/tt9620288/?ref_=adv_li_tt,7.5,PG-13,-2021,2021
The New Mutants,https://www.imdb.com/title/tt4682266/?ref_=adv_li_tt,5.3,PG-13,-2020,2020
Spencer,https://www.imdb.com/title/tt12536294/?ref_=adv_li_tt,6.6,R,-2021,2021
Turning Red,https://www.imdb.com/title/tt8097030/?ref_=adv_li_tt,7,PG,-2022,2022
Boiling Point,https://www.imdb.com/title/tt11127680/?ref_=adv_li_tt,7.5,R,2021,2021
Aladdin,https://www.imdb.com/title/tt6139732/?ref_=adv_li_tt,6.9,PG,-2019,2019
Wonder Woman 1984,https://www.imdb.com/title/tt7126948/?ref_=adv_li_tt,5.4,PG-13,-2020,2020
The Fallout,https://www.imdb.com/title/tt11847410/?ref_=adv_li_tt,7,R,-2021,2021
Fast & Furious Presents: Hobbs & Shaw,https://www.imdb.com/title/tt6806448/?ref_=adv_li_tt,6.5,PG-13,-2019,2019
Underwater,https://www.imdb.com/title/tt5774060/?ref_=adv_li_tt,5.8,PG-13,-2020,2020
The Sea Beast,https://www.imdb.com/title/tt9288046/?ref_=adv_li_tt,7.1,PG,-2022,2022
The Lion King,https://www.imdb.com/title/tt6105098/?ref_=adv_li_tt,6.8,PG,-2019,2019
The Enforcer,https://www.imdb.com/title/tt14857730/?ref_=adv_li_tt,5.2,R,-2022,2022
Bombshell,https://www.imdb.com/title/tt6394270/?ref_=adv_li_tt,6.8,R,2019,2019
Emma.,https://www.imdb.com/title/tt9214832/?ref_=adv_li_tt,6.7,PG,-2020,2020
Goodnight Mommy,https://www.imdb.com/title/tt9000184/?ref_=adv_li_tt,5.6,R,-2022,2022
Detective Knight: Rogue,https://www.imdb.com/title/tt21435436/?ref_=adv_li_tt,3.6,R,-2022,2022
Redeeming Love,https://www.imdb.com/title/tt11365186/?ref_=adv_li_tt,6.7,PG-13,-2022,2022
6 Underground,https://www.imdb.com/title/tt8106534/?ref_=adv_li_tt,6.1,R,-2019,2019
The Inspection,https://www.imdb.com/title/tt13495458/?ref_=adv_li_tt,7.1,R,-2022,2022
Emily,https://www.imdb.com/title/tt12374656/?ref_=adv_li_tt,7,R,-2022,2022
The Man from Toronto,https://www.imdb.com/title/tt11671006/?ref_=adv_li_tt,5.8,PG-13,-2022,2022
Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/?ref_=adv_li_tt,7.4,PG-13,-2019,2019
The 355,https://www.imdb.com/title/tt8356942/?ref_=adv_li_tt,5.5,PG-13,-2022,2022
The Green Knight,https://www.imdb.com/title/tt9243804/?ref_=adv_li_tt,6.6,R,-2021,2021
